한자,병음,의미,활성
网红,wǎng hóng,인플루언서,O
内卷,nèi juǎn,치열한 경쟁,O
躺平,tǎng píng,드러눕기(무기력),O
破防,pò fáng,멘탈 붕괴,O
摆烂,bǎi làn,자포자기,O
打卡,dǎ kǎ,인증(체크인),O
秒杀,miǎo shā,순식간에 해치움,O
吐槽,tǔ cáo,디스하다,O
点赞,diǎn zàn,좋아요,O
追星,zhuī xīng,덕질하다,O
佛系,fó xì,욕심 없는(마이웨이),O
学霸,xué bà,공부의 신,O
剁手,duò shǒu,지름신(과소비),O
熬夜,áo yè,밤새우다,O
尴尬,gān gà,민망하다,O
治愈,zhì yù,힐링되다,O
干饭,gàn fàn,밥 먹기(먹방),O
翻车,fān chē,실패하다,O
上头,shàng tóu,푹 빠지다,O
出圈,chū quān,대세가 되다,O
硬核,yìng hé,하드코어,O
种草,zhòng cǎo,사고 싶어지다,O
吃瓜,chī guā,구경하다(가십),O
逆袭,nì xí,인생 역전,O
神仙,shén xiān,최고(신급),O
官宣,guān xuān,공식 발표,O
爆款,bào kuǎn,대박 상품,O
反转,fǎn zhuǎn,반전,O
