한자,병음,의미,활성
喜欢,xǐ huan,좋아하다,O
爱情,ài qíng,사랑,O
浪漫,làng màn,낭만,O
约会,yuē huì,데이트,O
表白,biǎo bái,고백하다,O
分手,fēn shǒu,헤어지다,O
误会,wù huì,오해,O
拥抱,yōng bào,포옹,O
眼泪,yǎn lèi,눈물,O
命运,mìng yùn,운명,O
缘分,yuán fèn,인연,O
心动,xīn dòng,설레다,O
暗恋,àn liàn,짝사랑,O
幸福,xìng fú,행복,O
回忆,huí yì,추억,O
承诺,chéng nuò,약속,O
后悔,hòu huǐ,후회하다,O
嫉妒,jì dù,질투,O
温柔,wēn róu,다정하다,O
心疼,xīn téng,안쓰럽다,O
等待,děng dài,기다리다,O
思念,sī niàn,그리워하다,O
拒绝,jù jué,거절하다,O
珍惜,zhēn xī,소중히 여기다,O
牵手,qiān shǒu,손을 잡다,O
在乎,zài hu,신경 쓰다,O
幸运,xìng yùn,행운,O
拥有,yōng yǒu,가지다,O
