한자,병음,의미,활성
妻子,qī zi,아내,O
丈夫,zhàng fu,남편,O
叔叔,shū shu,삼촌,O
穿,chuān,입다,O
手机,shǒu jī,휴대폰,O
手表,shǒu biǎo,손목시계,O
颜色,yán sè,색깔,O
外公,wài gōng,외할아버지,O
外婆,wài pó,외할머니,O
姨妈,yí mā,이모,O
舅舅,jiù jiu,외삼촌,O
姑姑,gū gu,고모,O
床,chuáng,침대,O
睡懒觉,shuì lǎn jiào,늦잠을 자다,O
被子,bèi zi,이불,O
闹钟,nào zhōng,알람시계,O
大衣,dà yī,코트,O
手套,shǒu tào,장갑,O
钱包,qián bāo,지갑,O
时间,shí jiān,시간,O
小时,xiǎo shí,시간(단위),O
两,liǎng,둘,O
每,měi,"매, 마다",O
半天,bàn tiān,"한참, 반나절",O
开,kāi,운전하다,O
在,zài,~에서; ~하고 있다,O
开始,kāi shǐ,시작하다,O
比,bǐ,~보다,O
别人,bié ren,다른 사람,O
阿姨,ā yí,"아주머니, 이모",O
洗澡,xǐ zǎo,목욕하다,O
条,tiáo,벌(하의를 세는 단위),O
裤子,kù zi,바지,O
双,shuāng,"켤레, 짝, 쌍",O
袜子,wà zi,양말,O
帽子,mào zi,모자,O
皮鞋,pí xié,구두,O
带,dài,"휴대하다, 지니다",O
刷牙,shuā yá,양치하다,O
周末,zhōu mò,주말,O
最近,zuì jìn,최근,O
分,fēn,분,O
半,bàn,절반,O
刻,kè,15분,O
地铁,dì tiě,지하철,O
骑,qí,"(동물, 자전거 등)타다",O
自行车,zì xíng chē,자전거,O
出发,chū fā,출발하다,O
马上,mǎ shàng,"곧, 즉시",O
注意,zhù yì,"주의하다, 조심하다",O
认为,rèn wéi,"여기다, 생각하다",O
站,zhàn,정류장; 서다,O
堵车,dǔ chē,차가 막히다,O
一定,yí dìng,"반드시, 꼭",O
几乎,jī hū,거의,O
司机,sī jī,"기사, 운전사",O
师傅,shī fu,"기사님, 선생님",O
汽车,qì chē,자동차,O
摩托车,mó tuō chē,오토바이,O
船,chuán,배(교통 수단),O
车票,chē piào,차표,O
车费,chē fèi,차비,O
从,cóng,"~부터, ~에서",O
离,lí,"~에서, ~로부터",O
远,yuǎn,멀다,O
近,jìn,가깝다,O
向,xiàng,~을 향하여,O
附近,fù jìn,근처,O
路,lù,길,O
咱们,zán men,우리,O
东边,dōng bian,동쪽,O
