한자,병음,의미,활성
机场,jī chǎng,공항,O
护照,hù zhào,여권,O
行李,xíng li,짐,O
酒店,jiǔ diàn,호텔,O
房间,fáng jiān,방,O
预订,yù dìng,예약하다,O
地图,dì tú,지도,O
车站,chē zhàn,정류장,O
地铁,dì tiě,지하철,O
机票,jī piào,항공권,O
签证,qiān zhèng,비자,O
菜单,cài dān,메뉴,O
好吃,hǎo chī,맛있다,O
厕所,cè suǒ,화장실,O
迷路,mí lù,길을 잃다,O
帮忙,bāng máng,도와주다,O
拍照,pāi zhào,사진 찍다,O
换钱,huàn qián,환전,O
退房,tuì fáng,체크아웃,O
入住,rù zhù,체크인,O
旅游,lǚ yóu,여행,O
景点,jǐng diǎn,명소,O
推荐,tuī jiàn,추천하다,O
便宜,pián yi,싸다,O
火车,huǒ chē,기차,O
出租车,chū zū chē,택시,O
纪念品,jì niàn pǐn,기념품,O
多少钱,duō shao qián,얼마예요,O
